"id","name","code","description","display_color","is_active","has_customer","default_duration","created_at","uses_end_date"
"1","Dog Walking","dog-walk","Walk your dog","#70d6ff","true","true","60","""2025-08-08T17:31:57.303Z""","false"
"2","Pet Visit","pet-visit","Visit your pet","#ff70a6","true","true","20","""2025-08-08T17:31:57.436Z""","false"
"3","Boarding","boarding","Boarding","#ff9770","true","true","1440","""2025-08-08T17:31:57.563Z""","true"
"4","House Sitting","house-sitting","House Sitting","#ffd670","true","true","30","""2025-08-08T17:31:57.687Z""","true"
"5","Dog Visit","dog-visit","Visit your dog","#035efc","false","true","30","""2025-08-08T17:31:57.813Z""","false"
"6","Daycare","daycare","Daycare","#52fc03","true","true","30","""2025-08-08T17:31:57.935Z""","true"
"7","Travel Time","travel-time","Travel Time","#cccccc","true","false","15","""2025-08-08T17:31:58.058Z""","false"
"8","Special Event","special-event","Special Event","#ff33e6","true","true","30","""2025-08-08T17:31:58.184Z""","false"
"9","Solo Dog Walking","solo-dog-walk","Walk a dog alone","#70d6ff","true","true","60","""2025-08-08T17:31:58.309Z""","false"
"10","Small Animal Boarding","small-animal-boarding","Board a small animal","#ff9770","true","true","30","""2025-08-08T17:31:58.446Z""","true"
"11","Weddings","weddings","Weddings","#ff70a6","true","true","30","""2025-08-08T17:31:58.575Z""","true"
"12","Meet And Greet","meet-and-greet","Meet And Greet","#666666","true","true","30","""2025-08-08T17:31:58.738Z""","false"
"13","Taxi","taxi","Taxi","#666666","true","true","30","""2025-08-08T17:31:58.916Z""","false"
"14","Staff Training/Meeting","staff-training","Staff Training/Meeting","#666666","true","false","30","""2025-08-08T17:31:59.045Z""","false"
"15","Staff Holiday","staff-holiday","Staff Holiday","#cccccc","true","false","15","""2025-08-08T17:31:59.171Z""","true"
"16","Dog Sitting","dog-sitting","Dog Sitting","#035efc","true","true","60","""2025-08-08T17:31:59.296Z""","false"
